# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"31","B7","Sample 1","PDC1","72.21421813964844","1119.985595703125"
"31","B7","Sample 1","PDC1","77.25686645507812","850.4561157226562"
"32","B8","Sample 1","PDC1","88.6868667602539","706.3670654296875"
"32","B8","Sample 1","PDC1","92.72097778320312","185.92620849609375"
"32","B8","Sample 1","PDC1","81.17892456054688","710.9580688476562"
"32","B8","Sample 1","PDC1","84.20451354980469","534.9403076171875"
"32","B8","Sample 1","PDC1","78.15333557128906","1111.0650634765625"
"33","B9","Sample 1","PDC1","78.72615814208984","4903.7138671875"
"33","B9","Sample 1","PDC1","86.46318817138672","182.53802490234375"
"33","B9","Sample 1","PDC1","89.04219055175781","175.16973876953125"
"33","B9","Sample 1","PDC1","64.14913940429688","3138.58935546875"
"33","B9","Sample 1","PDC1","93.41529846191406","-60.566162109375"
"34","B10","Sample 1","PDC1","78.83828735351562","3127.48974609375"
"34","B10","Sample 1","PDC1","90.05137634277344","42.01470947265625"
"34","B10","Sample 1","PDC1","63.252098083496094","3169.87158203125"
"34","B10","Sample 1","PDC1","87.92088317871094","-66.8895263671875"
"34","B10","Sample 1","PDC1","75.36222839355469","1215.5986328125"
"35","B11","Sample 1","PDC1","78.83828735351562","6927.23095703125"
"35","B11","Sample 1","PDC1","63.700618743896484","2896.050048828125"
"35","B11","Sample 1","PDC1","66.39176177978516","2491.542236328125"
"35","B11","Sample 1","PDC1","61.68226623535156","2425.98779296875"
"35","B11","Sample 1","PDC1","69.6435546875","2173.794921875"
"36","B12","Sample 1","PDC1","78.83828735351562","5586.890625"
"36","B12","Sample 1","PDC1","88.59367370605469","205.35009765625"
"36","B12","Sample 1","PDC1","84.44483184814453","387.67376708984375"
"36","B12","Sample 1","PDC1","73.79239654541016","1519.470947265625"
"36","B12","Sample 1","PDC1","62.91570281982422","2887.03955078125"
"37","B13","Sample 1","PDC1","90.81890106201172","245.4853515625"
"37","B13","Sample 1","PDC1","85.88784790039062","802.7456665039062"
"37","B13","Sample 1","PDC1","76.13780212402344","1237.798828125"
"37","B13","Sample 1","PDC1","83.08610534667969","507.9215087890625"
"37","B13","Sample 1","PDC1","79.05160522460938","1112.2705078125"
"38","B14","Sample 1","PDC1","91.04304504394531","776.9284057617188"
"38","B14","Sample 1","PDC1","88.01716613769531","443.3973388671875"
"38","B14","Sample 1","PDC1","82.1895523071289","611.765869140625"
"38","B14","Sample 1","PDC1","70.1981201171875","1358.8800048828125"
"38","B14","Sample 1","PDC1","94.06891632080078","-394.66864013671875"
"39","B15","Sample 1","PDC1","78.71540069580078","2999.944091796875"
"39","B15","Sample 1","PDC1","89.13786315917969","512.4383544921875"
"39","B15","Sample 1","PDC1","86.7844009399414","204.6044921875"
"39","B15","Sample 1","PDC1","93.284423828125","23.697998046875"
"39","B15","Sample 1","PDC1","73.2239990234375","1122.5426025390625"
"40","B16","Sample 1","PDC1","78.60333251953125","2580.92138671875"
"40","B16","Sample 1","PDC1","87.3447494506836","147.743408203125"
"40","B16","Sample 1","PDC1","67.84466552734375","2000.9259033203125"
"40","B16","Sample 1","PDC1","75.57745361328125","1132.3975830078125"
"40","B16","Sample 1","PDC1","72.55158233642578","1330.5810546875"
"41","B17","Sample 1","Target 1","66.16514587402344","1691.5491943359375"
"41","B17","Sample 1","Target 1","78.15974426269531","1570.480224609375"
"41","B17","Sample 1","Target 1","92.95681762695312","1245.1536865234375"
"41","B17","Sample 1","Target 1","68.6313247680664","852.043212890625"
"41","B17","Sample 1","Target 1","85.55828094482422","922.6983642578125"
"42","B18","Sample 1","Target 1","75.8056640625","1852.50634765625"
"42","B18","Sample 1","Target 1","71.99429321289062","1053.402587890625"
"42","B18","Sample 1","Target 1","63.811065673828125","862.3719482421875"
"42","B18","Sample 1","Target 1","80.28962707519531","1151.84814453125"
"42","B18","Sample 1","Target 1","88.69705200195312","513.1576538085938"
"43","B19","Sample 1","Target 1","66.16514587402344","1822.3016357421875"
"43","B19","Sample 1","Target 1","75.0209732055664","1671.0718994140625"
"43","B19","Sample 1","Target 1","81.29851531982422","1866.306640625"
"43","B19","Sample 1","Target 1","63.026371002197266","799.3580322265625"
"43","B19","Sample 1","Target 1","69.7523193359375","823.5056762695312"
"44","B20","Sample 1","Target 1","82.75580596923828","1639.7603759765625"
"44","B20","Sample 1","Target 1","63.026371002197266","1417.791015625"
"44","B20","Sample 1","Target 1","79.61703491210938","1318.5335693359375"
"44","B20","Sample 1","Target 1","93.18101501464844","1560.8548583984375"
"44","B20","Sample 1","Target 1","76.36615753173828","1127.9730224609375"
"45","B21","Sample 1","Target 1","82.97960662841797","574.8847045898438"
"45","B21","Sample 1","Target 1","91.72317504882812","14.65104866027832"
"45","B21","Sample 1","Target 1","88.36026763916016","621.6240234375"
"45","B21","Sample 1","Target 1","64.48358154296875","693.2310180664062"
"45","B21","Sample 1","Target 1","71.65779876708984","395.1303405761719"
"46","B22","Sample 1","Target 1","68.07068634033203","2151.8251953125"
"46","B22","Sample 1","Target 1","86.23042297363281","1539.7698974609375"
"46","B22","Sample 1","Target 1","90.4901123046875","330.232666015625"
"46","B22","Sample 1","Target 1","61.56905746459961","1454.1494140625"
"46","B22","Sample 1","Target 1","80.73766326904297","886.693603515625"
"47","B23","Sample 1","Target 1","91.49898529052734","1341.69189453125"
"47","B23","Sample 1","Target 1","89.369140625","1047.5069580078125"
"47","B23","Sample 1","Target 1","81.85863494873047","1429.69970703125"
"47","B23","Sample 1","Target 1","84.21267700195312","1364.3031005859375"
"47","B23","Sample 1","Target 1","68.96746826171875","805.4216918945312"
"48","B24","Sample 1","Target 1","62.46583557128906","1253.470947265625"
"48","B24","Sample 1","Target 1","75.35700225830078","1511.2459716796875"
"48","B24","Sample 1","Target 1","80.17717742919922","1250.7259521484375"
"48","B24","Sample 1","Target 1","78.04733276367188","741.50732421875"
"48","B24","Sample 1","Target 1","69.5279541015625","959.76708984375"
"49","C1","Sample 1","PDC1","82.75704956054688","649.896728515625"
"49","C1","Sample 1","PDC1","85.78386688232422","520.7150268554688"
"49","C1","Sample 1","PDC1","78.60919952392578","1125.09326171875"
"49","C1","Sample 1","PDC1","66.38983917236328","1555.09375"
"49","C1","Sample 1","PDC1","75.58238220214844","503.5738220214844"
"50","C2","Sample 1","PDC1","90.38014221191406","638.9888916015625"
"50","C2","Sample 1","PDC1","78.72129821777344","892.23828125"
"50","C2","Sample 1","PDC1","87.35332489013672","416.44537353515625"
"50","C2","Sample 1","PDC1","82.42073822021484","757.6131591796875"
"50","C2","Sample 1","PDC1","72.66767883300781","971.5308227539062"
"51","C3","Sample 1","PDC1","82.64495086669922","748.1458740234375"
"51","C3","Sample 1","PDC1","73.6766128540039","1073.46240234375"
"51","C3","Sample 1","PDC1","78.4970932006836","1064.1292724609375"
"51","C3","Sample 1","PDC1","69.52875518798828","1487.3623046875"
"51","C3","Sample 1","PDC1","92.62222290039062","-152.60028076171875"
"52","C4","Sample 1","PDC1","78.72129821777344","1206.41162109375"
"52","C4","Sample 1","PDC1","83.42967987060547","291.6188659667969"
"52","C4","Sample 1","PDC1","74.01292419433594","1052.79443359375"
"52","C4","Sample 1","PDC1","85.78386688232422","14.23370361328125"
"52","C4","Sample 1","PDC1","89.48330688476562","-100.7747802734375"
"53","C5","Sample 1","PDC1","78.60157012939453","2392.697021484375"
"53","C5","Sample 1","PDC1","87.2301025390625","592.63134765625"
"53","C5","Sample 1","PDC1","90.25569152832031","144.92718505859375"
"53","C5","Sample 1","PDC1","84.76480102539062","102.37677001953125"
"53","C5","Sample 1","PDC1","66.83538818359375","2191.702880859375"
"54","C6","Sample 1","PDC1","78.60157012939453","2471.6328125"
"54","C6","Sample 1","PDC1","90.81597900390625","-280.29876708984375"
"54","C6","Sample 1","PDC1","87.56627655029297","44.2423095703125"
"54","C6","Sample 1","PDC1","81.62715911865234","242.20428466796875"
"54","C6","Sample 1","PDC1","83.53215789794922","-157.37457275390625"
"55","C7","Sample 1","PDC1","83.86833190917969","452.9318542480469"
"55","C7","Sample 1","PDC1","80.84274291992188","399.4552307128906"
"55","C7","Sample 1","PDC1","87.3421630859375","-279.3159484863281"
"55","C7","Sample 1","PDC1","93.84156799316406","-439.2807312011719"
"55","C7","Sample 1","PDC1","68.74039459228516","752.827880859375"
"56","C8","Sample 1","PDC1","75.23980712890625","5011.5341796875"
"56","C8","Sample 1","PDC1","69.18862915039062","2083.6103515625"
"56","C8","Sample 1","PDC1","89.69538879394531","-43.01190185546875"
"56","C8","Sample 1","PDC1","65.93891906738281","2408.6328125"
"56","C8","Sample 1","PDC1","85.32510375976562","-13.6854248046875"
"57","C9","Sample 1","PDC1","85.67826843261719","459.8423156738281"
"57","C9","Sample 1","PDC1","89.71498107910156","3.8560791015625"
"57","C9","Sample 1","PDC1","78.50189208984375","442.84735107421875"
"57","C9","Sample 1","PDC1","83.43565368652344","439.5486145019531"
"57","C9","Sample 1","PDC1","69.53142547607422","955.7763061523438"
"58","C10","Sample 1","PDC1","92.40612030029297","423.7696533203125"
"58","C10","Sample 1","PDC1","83.32351684570312","425.67431640625"
"58","C10","Sample 1","PDC1","79.1746826171875","562.2362060546875"
"58","C10","Sample 1","PDC1","89.60284423828125","474.2117004394531"
"58","C10","Sample 1","PDC1","74.3530502319336","571.9566650390625"
"59","C11","Sample 1","PDC1","78.50189208984375","5971.4892578125"
"59","C11","Sample 1","PDC1","83.8841781616211","-105.2244873046875"
"59","C11","Sample 1","PDC1","92.51824951171875","-303.8848876953125"
"59","C11","Sample 1","PDC1","89.71498107910156","-154.546630859375"
"59","C11","Sample 1","PDC1","65.83110809326172","2694.904296875"
"60","C12","Sample 1","PDC1","78.50189208984375","6772.71923828125"
"60","C12","Sample 1","PDC1","62.57931137084961","3476.90625"
"60","C12","Sample 1","PDC1","88.48153686523438","-105.035888671875"
"60","C12","Sample 1","PDC1","93.63955688476562","-407.479248046875"
"60","C12","Sample 1","PDC1","91.17268371582031","-149.4705810546875"
"61","C13","Sample 1","PDC1","78.49125671386719","7326.89306640625"
"61","C13","Sample 1","PDC1","88.01716613769531","88.228271484375"
"61","C13","Sample 1","PDC1","92.72408294677734","-42.39990234375"
"61","C13","Sample 1","PDC1","84.99128723144531","240.3255615234375"
"61","C13","Sample 1","PDC1","62.57740020751953","5168.064453125"
"62","C14","Sample 1","PDC1","78.49125671386719","8088.2685546875"
"62","C14","Sample 1","PDC1","71.87916564941406","3002.44873046875"
"62","C14","Sample 1","PDC1","90.03441619873047","-116.0537109375"
"62","C14","Sample 1","PDC1","87.45681762695312","149.3607177734375"
"62","C14","Sample 1","PDC1","82.30162048339844","242.9539794921875"
"63","C15","Sample 1","PDC1","78.49125671386719","8911.107421875"
"63","C15","Sample 1","PDC1","85.5516357421875","70.733642578125"
"63","C15","Sample 1","PDC1","70.1981201171875","3149.32421875"
"63","C15","Sample 1","PDC1","66.61190032958984","3360.50390625"
"63","C15","Sample 1","PDC1","74.45675659179688","2627.213134765625"
"64","C16","Sample 1","PDC1","78.49125671386719","8327.7919921875"
"64","C16","Sample 1","PDC1","93.17236328125","-531.197265625"
"64","C16","Sample 1","PDC1","86.11198425292969","-279.57763671875"
"64","C16","Sample 1","PDC1","83.75852966308594","-213.317626953125"
"64","C16","Sample 1","PDC1","67.28431701660156","3289.6083984375"
"65","C17","Sample 1","Target 1","62.465877532958984","2681.824462890625"
"65","C17","Sample 1","Target 1","72.8910903930664","2115.75146484375"
"65","C17","Sample 1","Target 1","92.5084228515625","1807.487060546875"
"65","C17","Sample 1","Target 1","80.96221923828125","1640.3800048828125"
"65","C17","Sample 1","Target 1","65.60465240478516","1493.0389404296875"
"66","C18","Sample 1","Target 1","70.64910888671875","1466.5428466796875"
"66","C18","Sample 1","Target 1","62.57797622680664","1429.043212890625"
"66","C18","Sample 1","Target 1","66.2772445678711","897.3905639648438"
"66","C18","Sample 1","Target 1","91.61163330078125","858.726318359375"
"66","C18","Sample 1","Target 1","86.90347290039062","680.552001953125"
"67","C19","Sample 1","Target 1","88.92124938964844","1868.0289306640625"
"67","C19","Sample 1","Target 1","77.15084838867188","2077.232421875"
"67","C19","Sample 1","Target 1","82.64370727539062","1879.8939208984375"
"67","C19","Sample 1","Target 1","79.72913360595703","1278.6199951171875"
"67","C19","Sample 1","Target 1","73.00318908691406","1529.0908203125"
"68","C20","Sample 1","Target 1","69.52811431884766","1621.7777099609375"
"68","C20","Sample 1","Target 1","90.49063873291016","1167.939697265625"
"68","C20","Sample 1","Target 1","65.38045501708984","931.2459716796875"
"68","C20","Sample 1","Target 1","77.59925079345703","686.99755859375"
"68","C20","Sample 1","Target 1","86.23088073730469","973.0047607421875"
"69","C21","Sample 1","Target 1","90.82640075683594","974.81103515625"
"69","C21","Sample 1","Target 1","81.5223388671875","1135.493896484375"
"69","C21","Sample 1","Target 1","86.6788101196289","371.018310546875"
"69","C21","Sample 1","Target 1","77.15055847167969","526.17333984375"
"69","C21","Sample 1","Target 1","62.69002914428711","1063.1966552734375"
"70","C22","Sample 1","Target 1","69.30375671386719","2278.38427734375"
"70","C22","Sample 1","Target 1","62.8021240234375","1356.76953125"
"70","C22","Sample 1","Target 1","72.55457305908203","1217.9654541015625"
"70","C22","Sample 1","Target 1","91.72317504882812","1206.7423095703125"
"70","C22","Sample 1","Target 1","66.1650390625","750.8986206054688"
"71","C23","Sample 1","Target 1","63.02631759643555","1775.879638671875"
